Fiscal Year,Service (Cabinet),Department,Program #,Program,Expense Type,ACCT #,Expense Category (Account),Fund,Amount
2014,Mayors Cabinet,Mayor's Office,111300,Policy & Planning,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111300,Policy & Planning,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111300,Policy & Planning,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111300,Policy & Planning,Equipment,55600,Office Furniture & Equipment,General Fund,$672.00
2014,Mayors Cabinet,Mayor's Office,111400,New Urban Mechanics,Personnel Services,51000,Permanent Employees,General Fund,$160134.00
2014,Mayors Cabinet,Mayor's Office,111400,New Urban Mechanics,Contractual Services,52100,Communications,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111400,New Urban Mechanics,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111400,New Urban Mechanics,Contractual Services,52900,Contracted Services,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111400,New Urban Mechanics,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111400,New Urban Mechanics,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Personnel Services,51000,Permanent Employees,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Contractual Services,52100,Communications,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Contractual Services,52900,Contracted Services,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111500,Communications,Equipment,55900,Misc Equipment,General Fund,$0.00
2014,Mayors Cabinet,Election Department,121100,Administration,Personnel Services,51000,Permanent Employees,General Fund,$438071.00
2014,Mayors Cabinet,Election Department,121100,Administration,Personnel Services,51200,Overtime,General Fund,$40164.00
2014,Mayors Cabinet,Election Department,121100,Administration,Personnel Services,51600,Unemployment Compensation,General Fund,$8462.00
2014,Mayors Cabinet,Election Department,121100,Administration,Contractual Services,52100,Communications,General Fund,$186431.00
2014,Mayors Cabinet,Election Department,121100,Administration,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$19504.00
2014,Mayors Cabinet,Election Department,121100,Administration,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2014,Mayors Cabinet,Election Department,121100,Administration,Contractual Services,52900,Contracted Services,General Fund,$2301.00
2014,Mayors Cabinet,Election Department,121100,Administration,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$9726.00
2014,Mayors Cabinet,Election Department,121100,Administration,Supplies & Materials,53200,Food Supplies,General Fund,$3984.00
2014,Mayors Cabinet,Election Department,121100,Administration,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$15653.00
2014,Mayors Cabinet,Election Department,121100,Administration,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2014,Mayors Cabinet,Election Department,121100,Administration,Current Charges & Obligations,54900,Current Charges,General Fund,$219.00
2014,Mayors Cabinet,Election Department,121100,Administration,Equipment,55400,Lease Purchase,General Fund,$25987.00
2014,Mayors Cabinet,Election Department,121300,Voter Registration,Personnel Services,51000,Permanent Employees,General Fund,$230870.00
2014,Mayors Cabinet,Election Department,121300,Voter Registration,Personnel Services,51200,Overtime,General Fund,$34550.00
2014,Mayors Cabinet,Election Department,121300,Voter Registration,Contractual Services,52100,Communications,General Fund,$267.00
2014,Mayors Cabinet,Election Department,121300,Voter Registration,Contractual Services,52800,Transportation of Persons,General Fund,$300.00
2014,Mayors Cabinet,Election Department,121300,Voter Registration,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$15498.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Personnel Services,51000,Permanent Employees,General Fund,$708468.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Personnel Services,51100,Emergency Employees,General Fund,$672099.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Personnel Services,51200,Overtime,General Fund,$220033.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Personnel Services,51600,Unemployment Compensation,General Fund,$0.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Contractual Services,52100,Communications,General Fund,$5043.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$0.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Contractual Services,52800,Transportation of Persons,General Fund,$1025.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Contractual Services,52900,Contracted Services,General Fund,$425349.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$33741.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Current Charges & Obligations,54900,Current Charges,General Fund,$51350.00
2014,Mayors Cabinet,Election Department,121400,Election Activities,Equipment,55900,Misc Equipment,General Fund,$0.00
2014,Mayors Cabinet,Election Department,128100,Annual Listing,Personnel Services,51000,Permanent Employees,General Fund,$139381.00
2014,Mayors Cabinet,Election Department,128100,Annual Listing,Personnel Services,51100,Emergency Employees,General Fund,$114922.00
2014,Mayors Cabinet,Election Department,128100,Annual Listing,Personnel Services,51200,Overtime,General Fund,$26713.00
2014,Mayors Cabinet,Election Department,128100,Annual Listing,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2014,Mayors Cabinet,Election Department,128100,Annual Listing,Contractual Services,52900,Contracted Services,General Fund,$27307.00
2014,Mayors Cabinet,Election Department,128100,Annual Listing,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$183615.00
2014,Mayors Cabinet,Election Department,128100,Annual Listing,Supplies & Materials,53700,Clothing Allowance,General Fund,$0.00
2014,Mayors Cabinet,Law Department,151100,Operations,Personnel Services,51000,Permanent Employees,General Fund,$1118606.00
2014,Mayors Cabinet,Law Department,151100,Operations,Personnel Services,51600,Unemployment Compensation,General Fund,$27494.00
2014,Mayors Cabinet,Law Department,151100,Operations,Contractual Services,52100,Communications,General Fund,$18621.00
2014,Mayors Cabinet,Law Department,151100,Operations,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$5409.00
2014,Mayors Cabinet,Law Department,151100,Operations,Contractual Services,52800,Transportation of Persons,General Fund,$6817.00
2014,Mayors Cabinet,Law Department,151100,Operations,Contractual Services,52900,Contracted Services,General Fund,$552701.00
2014,Mayors Cabinet,Law Department,151100,Operations,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$82.00
2014,Mayors Cabinet,Law Department,151100,Operations,Supplies & Materials,53400,Custodial Supplies,General Fund,$533.00
2014,Mayors Cabinet,Law Department,151100,Operations,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$20712.00
2014,Mayors Cabinet,Law Department,151100,Operations,Current Charges & Obligations,54900,Current Charges,General Fund,$81885.00
2014,Mayors Cabinet,Law Department,151100,Operations,Equipment,55600,Office Furniture & Equipment,General Fund,$0.00
2014,Mayors Cabinet,Law Department,151100,Operations,Equipment,55900,Misc Equipment,General Fund,$4084.00
2014,Mayors Cabinet,Law Department,151200,Litigation,Personnel Services,51000,Permanent Employees,General Fund,$1108314.00
2014,Mayors Cabinet,Law Department,151200,Litigation,Contractual Services,52100,Communications,General Fund,$9.00
2014,Mayors Cabinet,Law Department,151200,Litigation,Contractual Services,52800,Transportation of Persons,General Fund,$150.00
2014,Mayors Cabinet,Law Department,151200,Litigation,Contractual Services,52900,Contracted Services,General Fund,$879582.00
2014,Mayors Cabinet,Law Department,151300,Government Services,Personnel Services,51000,Permanent Employees,General Fund,$1447484.00
2014,Mayors Cabinet,Law Department,151300,Government Services,Contractual Services,52900,Contracted Services,General Fund,$665000.00
2014,Mayors Cabinet,Law Department,151500,Office of Gaming & Accountability,Personnel Services,51000,Permanent Employees,General Fund,$0.00
2014,Mayors Cabinet,Law Department,151500,Office of Gaming & Accountability,Contractual Services,52900,Contracted Services,General Fund,$0.00
2014,Mayors Cabinet,Public Information,411100,Communications,Personnel Services,51000,Permanent Employees,General Fund,$487284.00
2014,Mayors Cabinet,Public Information,411100,Communications,Personnel Services,51100,Emergency Employees,General Fund,$17214.00
2014,Mayors Cabinet,Public Information,411100,Communications,Personnel Services,51200,Overtime,General Fund,$3569.00
2014,Mayors Cabinet,Public Information,411100,Communications,Personnel Services,51600,Unemployment Compensation,General Fund,$0.00
2014,Mayors Cabinet,Public Information,411100,Communications,Contractual Services,52100,Communications,General Fund,$15509.00
2014,Mayors Cabinet,Public Information,411100,Communications,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$5933.00
2014,Mayors Cabinet,Public Information,411100,Communications,Contractual Services,52900,Contracted Services,General Fund,$1208.00
2014,Mayors Cabinet,Public Information,411100,Communications,Supplies & Materials,53200,Food Supplies,General Fund,$8504.00
2014,Mayors Cabinet,Public Information,411100,Communications,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$2957.00
2014,Mayors Cabinet,Public Information,411100,Communications,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$4205.00
2014,Mayors Cabinet,Public Information,411100,Communications,Current Charges & Obligations,54900,Current Charges,General Fund,$3244.00
2014,Mayors Cabinet,Public Information,411100,Communications,Equipment,55900,Misc Equipment,General Fund,$6930.00
2014,Mayors Cabinet,Public Information,411300,24 Hour/Constituent Engagement,Personnel Services,51000,Permanent Employees,General Fund,$644817.00
2014,Mayors Cabinet,Public Information,411300,24 Hour/Constituent Engagement,Personnel Services,51100,Emergency Employees,General Fund,$38642.00
2014,Mayors Cabinet,Public Information,411300,24 Hour/Constituent Engagement,Personnel Services,51200,Overtime,General Fund,$12751.00
2014,Mayors Cabinet,Public Information,411300,24 Hour/Constituent Engagement,Personnel Services,51600,Unemployment Compensation,General Fund,$4107.00
2014,Mayors Cabinet,Public Information,411300,24 Hour/Constituent Engagement,Contractual Services,52100,Communications,General Fund,$27919.00
2014,Mayors Cabinet,Public Information,411300,24 Hour/Constituent Engagement,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$1463.00
2014,Mayors Cabinet,Public Information,411300,24 Hour/Constituent Engagement,Equipment,55900,Misc Equipment,General Fund,$2397.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Personnel Services,51000,Permanent Employees,General Fund,$244248.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Personnel Services,51600,Unemployment Compensation,General Fund,$0.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Contractual Services,52100,Communications,General Fund,$651.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$0.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Contractual Services,52800,Transportation of Persons,General Fund,$490.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Contractual Services,52900,Contracted Services,General Fund,$1447.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$0.00
2014,Mayors Cabinet,Women's Advancement,417100,Women's Commission Program,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Personnel Services,51000,Permanent Employees,General Fund,$684724.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Personnel Services,51600,Unemployment Compensation,General Fund,$3862.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Contractual Services,52100,Communications,General Fund,$12076.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$0.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Contractual Services,52800,Transportation of Persons,General Fund,$3531.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Contractual Services,52900,Contracted Services,General Fund,$154902.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Supplies & Materials,53200,Food Supplies,General Fund,$3484.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$2939.00
2014,Operations,Intergovernmental Relations,150100,Intergovernmental Relations,Current Charges & Obligations,54900,Current Charges,General Fund,$194439.00
2014,Operations,Intergovernmental Relations,150200,Grants Administration,Personnel Services,51000,Permanent Employees,General Fund,$85168.00
2014,Operations,Intergovernmental Relations,150200,Grants Administration,Contractual Services,52100,Communications,General Fund,$20.00
2014,Operations,Intergovernmental Relations,150200,Grants Administration,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2014,Operations,Intergovernmental Relations,150200,Grants Administration,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2014,Operations,Property Management Department,180100,Administration,Personnel Services,51000,Permanent Employees,General Fund,$1581127.00
2014,Operations,Property Management Department,180100,Administration,Personnel Services,51200,Overtime,General Fund,$65908.00
2014,Operations,Property Management Department,180100,Administration,Personnel Services,51600,Unemployment Compensation,General Fund,$28166.00
2014,Operations,Property Management Department,180100,Administration,Personnel Services,51700,Workers' Compensation,General Fund,$165750.00
2014,Operations,Property Management Department,180100,Administration,Contractual Services,52100,Communications,General Fund,$110850.00
2014,Operations,Property Management Department,180100,Administration,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$3705.00
2014,Operations,Property Management Department,180100,Administration,Contractual Services,52800,Transportation of Persons,General Fund,$1200.00
2014,Operations,Property Management Department,180100,Administration,Contractual Services,52900,Contracted Services,General Fund,$1444.00
2014,Operations,Property Management Department,180100,Administration,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$29990.00
2014,Operations,Property Management Department,180100,Administration,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$8124.00
2014,Operations,Property Management Department,180100,Administration,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$925.00
2014,Operations,Property Management Department,180100,Administration,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$0.00
2014,Operations,Property Management Department,180100,Administration,Current Charges & Obligations,54400,Legal Liability Premium,General Fund,$3353.00
2014,Operations,Property Management Department,180100,Administration,Current Charges & Obligations,54900,Current Charges,General Fund,$635.00
2014,Operations,Property Management Department,180100,Administration,Equipment,55400,Lease Purchase,General Fund,$3293.00
2014,Operations,Property Management Department,180100,Administration,Special Appropriations,56200,Special Appropriations,General Fund,$0.00
2014,Operations,Property Management Department,180200,Building Maintenance,Personnel Services,51000,Permanent Employees,General Fund,$1277226.00
2014,Operations,Property Management Department,180200,Building Maintenance,Personnel Services,51200,Overtime,General Fund,$127839.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52100,Communications,General Fund,$27341.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52200,Utilities,General Fund,$3755566.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52400,Snow Removal,General Fund,$0.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52500,Garbage/Waste Removal,General Fund,$20224.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$935332.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$91246.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52800,Transportation of Persons,General Fund,$1900.00
2014,Operations,Property Management Department,180200,Building Maintenance,Contractual Services,52900,Contracted Services,General Fund,$726602.00
2014,Operations,Property Management Department,180200,Building Maintenance,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$1164.00
2014,Operations,Property Management Department,180200,Building Maintenance,Supplies & Materials,53400,Custodial Supplies,General Fund,$67518.00
2014,Operations,Property Management Department,180200,Building Maintenance,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$415.00
2014,Operations,Property Management Department,180200,Building Maintenance,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$90734.00
2014,Operations,Property Management Department,180200,Building Maintenance,Current Charges & Obligations,54900,Current Charges,General Fund,$6895.00
2014,Operations,Property Management Department,180200,Building Maintenance,Equipment,55400,Lease Purchase,General Fund,$62682.00
2014,Operations,Property Management Department,180200,Building Maintenance,Equipment,55600,Office Furniture & Equipment,General Fund,$9142.00
2014,Operations,Property Management Department,180200,Building Maintenance,Equipment,55900,Misc Equipment,General Fund,$404.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Personnel Services,51000,Permanent Employees,General Fund,$588887.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Personnel Services,51200,Overtime,General Fund,$32167.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Contractual Services,52100,Communications,General Fund,$742.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Contractual Services,52400,Snow Removal,General Fund,$83935.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Contractual Services,52500,Garbage/Waste Removal,General Fund,$56898.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$1029672.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$1577.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Contractual Services,52800,Transportation of Persons,General Fund,$600.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Contractual Services,52900,Contracted Services,General Fund,$335332.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$0.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$271162.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$22713.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Equipment,55400,Lease Purchase,General Fund,$7550.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Equipment,55600,Office Furniture & Equipment,General Fund,$205890.00
2014,Operations,Property Management Department,180300,Alterations & Repair,Equipment,55900,Misc Equipment,General Fund,$10912.00
2014,Operations,Property Management Department,180400,Enforcement,Personnel Services,51000,Permanent Employees,General Fund,$2396221.00
2014,Operations,Property Management Department,180400,Enforcement,Personnel Services,51200,Overtime,General Fund,$1209839.00
2014,Operations,Property Management Department,180400,Enforcement,Contractual Services,52100,Communications,General Fund,$6851.00
2014,Operations,Property Management Department,180400,Enforcement,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$141631.00
2014,Operations,Property Management Department,180400,Enforcement,Contractual Services,52900,Contracted Services,General Fund,$20441.00
2014,Operations,Property Management Department,180400,Enforcement,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$12940.00
2014,Operations,Property Management Department,180400,Enforcement,Supplies & Materials,53400,Custodial Supplies,General Fund,$0.00
2014,Operations,Property Management Department,180400,Enforcement,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$0.00
2014,Education,Boston Public Schools,101329,Lee Academy,Equipment,55900,Misc Equipment,General Fund,$0.00
2014,Operations,Property Management Department,180400,Enforcement,Supplies & Materials,53700,Clothing Allowance,General Fund,$32550.00
2014,Operations,Property Management Department,180400,Enforcement,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$21031.00
2014,Operations,Property Management Department,180400,Enforcement,Current Charges & Obligations,54900,Current Charges,General Fund,$2162.00
2014,Operations,Property Management Department,180400,Enforcement,Equipment,55400,Lease Purchase,General Fund,$77479.00
2014,Operations,Property Management Department,180400,Enforcement,Equipment,55900,Misc Equipment,General Fund,$0.00
2014,Operations,Property Management Department,180500,Security Systems,Personnel Services,51000,Permanent Employees,General Fund,$794787.00
2014,Operations,Property Management Department,180500,Security Systems,Personnel Services,51200,Overtime,General Fund,$111844.00
2014,Operations,Property Management Department,180500,Security Systems,Contractual Services,52100,Communications,General Fund,$3854.00
2014,Operations,Property Management Department,180500,Security Systems,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$4289.00
2014,Operations,Property Management Department,180500,Security Systems,Contractual Services,52800,Transportation of Persons,General Fund,$739.00
2014,Operations,Property Management Department,180500,Security Systems,Contractual Services,52900,Contracted Services,General Fund,$195.00
2014,Operations,Property Management Department,180500,Security Systems,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$0.00
2014,Operations,Property Management Department,180500,Security Systems,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$3954.00
2014,Operations,Property Management Department,180500,Security Systems,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$6627.00
2014,Operations,Property Management Department,180500,Security Systems,Current Charges & Obligations,54900,Current Charges,General Fund,$374.00
2014,Operations,Property Management Department,180500,Security Systems,Equipment,55900,Misc Equipment,General Fund,$12893.00
2014,Operations,Property Management Department,180600,Animal Control,Personnel Services,51000,Permanent Employees,General Fund,$931293.00
2014,Operations,Property Management Department,180600,Animal Control,Personnel Services,51200,Overtime,General Fund,$61321.00
2014,Operations,Property Management Department,180600,Animal Control,Contractual Services,52100,Communications,General Fund,$2422.00
2014,Operations,Property Management Department,180600,Animal Control,Contractual Services,52500,Garbage/Waste Removal,General Fund,$0.00
2014,Operations,Property Management Department,180600,Animal Control,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$19774.00
2014,Operations,Property Management Department,180600,Animal Control,Contractual Services,52800,Transportation of Persons,General Fund,$600.00
2014,Operations,Property Management Department,180600,Animal Control,Contractual Services,52900,Contracted Services,General Fund,$12064.00
2014,Operations,Property Management Department,180600,Animal Control,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$29242.00
2014,Operations,Property Management Department,180600,Animal Control,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2014,Operations,Property Management Department,180600,Animal Control,Supplies & Materials,53400,Custodial Supplies,General Fund,$5252.00
2014,Operations,Property Management Department,180600,Animal Control,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$2120.00
2014,Operations,Property Management Department,180600,Animal Control,Supplies & Materials,53700,Clothing Allowance,General Fund,$1950.00
2014,Operations,Property Management Department,180600,Animal Control,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$10979.00
2014,Operations,Property Management Department,180600,Animal Control,Equipment,55400,Lease Purchase,General Fund,$41480.00
2014,Operations,Property Management Department,180600,Animal Control,Equipment,55900,Misc Equipment,General Fund,$0.00
2014,Operations,Property Management Department,180700,Building Systems,Personnel Services,51000,Permanent Employees,General Fund,$709141.00
2014,Operations,Property Management Department,180700,Building Systems,Personnel Services,51200,Overtime,General Fund,$70144.00
2014,Operations,Property Management Department,180700,Building Systems,Contractual Services,52100,Communications,General Fund,$274.00
2014,Operations,Property Management Department,180700,Building Systems,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$845932.00
2014,Operations,Property Management Department,180700,Building Systems,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$121495.00
2014,Operations,Property Management Department,180700,Building Systems,Contractual Services,52900,Contracted Services,General Fund,$32868.00
2014,Operations,Property Management Department,180700,Building Systems,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$0.00
2014,Operations,Property Management Department,180700,Building Systems,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$46191.00
2014,Operations,Property Management Department,180700,Building Systems,Current Charges & Obligations,54900,Current Charges,General Fund,$3500.00
2014,Operations,Property Management Department,180700,Building Systems,Equipment,55900,Misc Equipment,General Fund,$0.00
2014,Operations,Property Management Department,180900,Capital Construction,Personnel Services,51000,Permanent Employees,General Fund,$4347872.00
2014,Operations,Property Management Department,180900,Capital Construction,Personnel Services,51100,Emergency Employees,General Fund,$2926.00
2014,Operations,Property Management Department,180900,Capital Construction,Personnel Services,51200,Overtime,General Fund,$100848.00
2014,Operations,Property Management Department,180900,Capital Construction,Contractual Services,52100,Communications,General Fund,$4520.00
2014,Operations,Property Management Department,180900,Capital Construction,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$4256.00
2014,Operations,Property Management Department,180900,Capital Construction,Contractual Services,52800,Transportation of Persons,General Fund,$2397.00
2014,Operations,Property Management Department,180900,Capital Construction,Contractual Services,52900,Contracted Services,General Fund,$74826.00
2014,Operations,Property Management Department,180900,Capital Construction,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$2581.00
2014,Operations,Property Management Department,180900,Capital Construction,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$20031.00
2014,Operations,Property Management Department,180900,Capital Construction,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$16842.00
2014,Operations,Property Management Department,180900,Capital Construction,Current Charges & Obligations,54900,Current Charges,General Fund,$10314.00
2014,Operations,Property Management Department,180900,Capital Construction,Equipment,55400,Lease Purchase,General Fund,$4234.00
2014,Operations,Property Management Department,180900,Capital Construction,Equipment,55600,Office Furniture & Equipment,General Fund,$10090.00
