timestamp,organization_type,country_residence,country_citizenship,finaid_need
3/16/2017 5:44:31,Other,Germany,India,Conference and Tutorial Fees Waived (Note from Jill-Lorena gave her a pass for the conference. Need to reach out to see if she intended to apply for hotel and travel support)
3/16/2017 21:43:42,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/17/2017 1:01:03,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/17/2017 2:02:43,University,United States of America,Taiwan,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/17/2017 8:52:46,Industry,Canada,Canada,"Conference and Tutorial Fees Waived, Hotel Accommodations"
3/17/2017 11:44:27,University,United States of America,Russian Federation,"Conference and Tutorial Fees Waived, Hotel Accommodations"
3/19/2017 18:52:28,University,Colombia,Colombia,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/20/2017 17:10:05,University,USA,Iran,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/21/2017 11:50:37,University,Austria,Vereinigte Staaten,Conference and Tutorial Fees Waived
3/21/2017 14:42:25,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/22/2017 21:53:06,University,Colombia,Bogota,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/27/2017 1:34:07,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/27/2017 10:46:30,University,United States,People's Republic of China,"Conference and Tutorial Fees Waived, Hotel Accommodations"
3/27/2017 16:23:47,University,Chile,Venezuela,Hotel Accommodations
3/30/2017 8:08:07,Open Source Project,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/30/2017 18:10:44,Industry,United States of America,Poland,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/30/2017 23:53:51,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Airline Ticket"
3/31/2017 13:21:23,University,USA,Russia,Airline Ticket
3/31/2017 21:43:34,Open Source Project,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/3/2017 8:33:17,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Airline Ticket"
4/3/2017 11:28:22,University,United States of America,Canada,"Conference and Tutorial Fees Waived, Airline Ticket"
4/4/2017 13:05:47,University,United States of America,Argentina,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/7/2017 11:00:24,Open Source Project,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/10/2017 3:37:23,Other,Poland,Poland,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/10/2017 3:42:39,Other,France,Colombia,Airline Ticket
4/10/2017 7:20:15,Other,Poland,Poland,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket, VISA costs"
4/10/2017 7:37:29,Industry,Poland,Poland,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket, visa costs"
4/11/2017 8:16:24,University,United States of America,United States of America,Conference and Tutorial Fees Waived
4/11/2017 16:28:32,University,India,India,"Conference and Tutorial Fees Waived, Airline Ticket"
4/12/2017 17:05:37,University,United States of America,United States of America,Conference and Tutorial Fees Waived
4/12/2017 17:20:42,University,United States of America,Taiwan,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/12/2017 17:29:33,Other,United States,United States,Conference and Tutorial Fees Waived
4/13/2017 10:45:26,University,United States of America,France,Conference and Tutorial Fees Waived
4/13/2017 10:57:32,University,United States of America,United States,Conference and Tutorial Fees Waived
4/13/2017 12:49:53,University,Sri Lanka,Sri Lanka,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/13/2017 14:26:32,University,United States,United States,Conference and Tutorial Fees Waived
4/13/2017 17:56:30,University,China,China,"Conference and Tutorial Fees Waived, Hotel Accommodations"
4/15/2017 7:44:38,University,India,India,900$
4/15/2017 9:53:08,University,United States of America,United States of America,Conference and Tutorial Fees Waived
4/15/2017 23:28:29,Open Source Project,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/16/2017 12:22:39,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/16/2017 14:24:50,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/16/2017 21:08:50,University,Namibia,Namibia,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/17/2017 9:07:38,Other,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations"
4/17/2017 11:28:43,University,M̩xico,M̩xico,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/17/2017 15:15:46,Open Source Project,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/17/2017 22:51:41,Industry,Mexico,Mexico,Conference and Tutorial Fees Waived
4/18/2017 2:23:34,University,United States of America,South Korea,"Conference and Tutorial Fees Waived, Hotel Accommodations"
4/18/2017 21:32:55,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations"
4/19/2017 13:31:35,Government,Argentina,Argentina,"Conference and Tutorial Fees Waived, Airline Ticket"
4/19/2017 16:09:45,University,United States of America,Turkey,"Conference and Tutorial Fees Waived, Hotel Accommodations"
4/19/2017 16:22:26,University,United States of America,Canada,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/19/2017 18:25:42,University,United States,United States,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/20/2017 3:07:42,University,Sweden,Sweden,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/20/2017 13:41:36,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/21/2017 9:30:01,University,United States of America,Canada,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/21/2017 9:50:01,Other,Germany,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/21/2017 10:08:12,Other,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations"
4/21/2017 10:10:40,University,United States,United States,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/21/2017 10:49:59,University,United States of America,United States,"Conference and Tutorial Fees Waived, Hotel Accommodations"
4/21/2017 10:52:17,University,Russia,Russia,Airline Ticket
4/21/2017 11:56:43,University,United States of America,Canada,"Hotel Accommodations, Airline Ticket"
4/21/2017 12:46:23,University,Russia,Russia,Airline Ticket
4/21/2017 13:27:37,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/21/2017 13:31:38,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/21/2017 14:16:50,University,India,India,Airline Ticket
4/21/2017 20:04:37,University,Brazil,Brazil,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/21/2017 22:45:37,University,United States of America,People's Republic of China,"Hotel Accommodations, Airline Ticket"
4/22/2017 1:04:28,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/22/2017 1:48:57,University,United States of America,United States of America,Conference and Tutorial Fees Waived
4/22/2017 3:18:29,University,dfasd,dfda,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/22/2017 6:45:46,University,dfasd,dfda,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
4/22/2017 21:06:50,University,United States of America,India,"Conference and Tutorial Fees Waived, Airline Ticket"
